"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 26 23:04:46 UTC 2026","Thu Feb 26 23:04:46 UTC 2026","0","tests.unit","test_m_lodging_service","","","","test_get_list_success",""
"passed","Thu Feb 26 23:05:54 UTC 2026","Thu Feb 26 23:05:54 UTC 2026","13","tests.integration.event_serv","test_update_event_it","","","","test_update_event_success",""
"passed","Thu Feb 26 23:04:47 UTC 2026","Thu Feb 26 23:04:48 UTC 2026","251","tests.unit","test_m_user_service","","","","test_service_should_registrate_user",""
"passed","Thu Feb 26 23:04:46 UTC 2026","Thu Feb 26 23:04:46 UTC 2026","3","tests.unit","test_m_event_service","","","","test_link_lodgings_success",""
"passed","Thu Feb 26 23:04:46 UTC 2026","Thu Feb 26 23:04:46 UTC 2026","1","tests.unit","test_m_session_service","","","","test_should_throw_exception_at_change_transport",""
"passed","Thu Feb 26 23:04:46 UTC 2026","Thu Feb 26 23:04:46 UTC 2026","1","tests.unit","test_m_user_service","","","","test_get_list_failure",""
"passed","Thu Feb 26 23:05:49 UTC 2026","Thu Feb 26 23:05:49 UTC 2026","2","tests.integration.program_serv","test_get_by_id_program_it","","","","test_get_program_by_id_success",""
"passed","Thu Feb 26 23:04:48 UTC 2026","Thu Feb 26 23:04:48 UTC 2026","0","tests.unit","test_m_program_service","","","","test_service_should_throw_exception_at_get_not_existed_program",""
"passed","Thu Feb 26 23:05:49 UTC 2026","Thu Feb 26 23:05:49 UTC 2026","4","tests.integration.lodging_serv","test_add_lodging_it","","","","test_add_accommodation_success",""
"passed","Thu Feb 26 23:04:46 UTC 2026","Thu Feb 26 23:04:46 UTC 2026","3","tests.unit","test_m_event_service","","","","test_add_event_duplicate_id",""
"passed","Thu Feb 26 23:05:55 UTC 2026","Thu Feb 26 23:05:55 UTC 2026","2","tests.integration.program_serv","test_update_existen_program_it","","","","test_update_non_existing_program_raises",""
"passed","Thu Feb 26 23:05:52 UTC 2026","Thu Feb 26 23:05:52 UTC 2026","4","tests.integration.program_serv","test_add_existen_program_it","","","","test_add_duplicate_program_raises",""
"passed","Thu Feb 26 23:04:46 UTC 2026","Thu Feb 26 23:04:46 UTC 2026","1","tests.unit","test_m_user_service","","","","test_add_user_success",""
"passed","Thu Feb 26 23:04:46 UTC 2026","Thu Feb 26 23:04:46 UTC 2026","0","tests.unit","test_m_lodging_service","","","","test_get_list_failure",""
"passed","Thu Feb 26 23:04:46 UTC 2026","Thu Feb 26 23:04:46 UTC 2026","1","tests.unit","test_builders","TestVenueMother","","","test_get_venue_by_id_using_mother","Позитивный тест: получение площадки через ObjectMother."
"passed","Thu Feb 26 23:05:52 UTC 2026","Thu Feb 26 23:05:52 UTC 2026","3","tests.integration.venue_serv","test_update_existing_venue_it","","","","test_update_existing_venue",""
"passed","Thu Feb 26 23:04:46 UTC 2026","Thu Feb 26 23:04:46 UTC 2026","2","tests.unit","test_m_event_service","","","","test_get_lodgings_by_event_error",""
